This file was created by CMPT_ME_PRIOR_RETS using the 202212 CRSP database.  It,,
contains a momentum factor, constructed from six value-weight portfolios formed,
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios,,
minus the average of the returns on two high prior return portfolios.  The portfolios,,
are constructed monthly.  Big means a firm is above the median market cap on the NYSE,,
at the end of the previous month; small firms are below the median NYSE market cap.,,
Prior return is measured from month - 1 to - 1.  Firms in the low prior return,,
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above,,
the 70th NYSE percentile.,,
,,
Missing data are indicated by -99.99 or -999.,,
,,
,ST_Rev,
192602,-2.01,-0.0201
192603,-5.9,-0.059
192604,-0.95,-0.0095
192605,-1.24,-0.0124
192606,4.01,0.0401
192607,-1.87,-0.0187
192608,1.43,0.0143
192609,-0.17,-0.0017
192610,-2.11,-0.0211
192611,1,0.01
192612,2.01,0.0201
192701,-1.98,-0.0198
192702,-1.22,-0.0122
192703,-3.44,-0.0344
192704,-3.56,-0.0356
192705,-0.87,-0.0087
192706,-0.66,-0.0066
192707,-0.89,-0.0089
192708,-1.18,-0.0118
192709,-1.05,-0.0105
192710,-2.84,-0.0284
192711,4.52,0.0452
192712,-0.16,-0.0016
192801,0.72,0.0072
192802,0.07,0.0007
192803,-5.82,-0.0582
192804,-0.52,-0.0052
192805,3.34,0.0334
192806,1,0.01
192807,-1.66,-0.0166
192808,0.14,0.0014
192809,-0.47,-0.0047
192810,-2.38,-0.0238
192811,-1.74,-0.0174
192812,-1.4,-0.014
192901,-6.69,-0.0669
192902,0.14,0.0014
192903,-2.71,-0.0271
192904,0.84,0.0084
192905,-2.13,-0.0213
192906,1.31,0.0131
192907,-1.5,-0.015
192908,-2.01,-0.0201
192909,1.88,0.0188
192910,-2.18,-0.0218
192911,-8,-0.08
192912,1.36,0.0136
193001,5.28,0.0528
193002,0.05,0.0005
193003,2.07,0.0207
193004,-0.33,-0.0033
193005,3.42,0.0342
193006,-6.4,-0.064
193007,5.89,0.0589
193008,2.25,0.0225
193009,-3.68,-0.0368
193010,-3.69,-0.0369
193011,1.94,0.0194
193012,-2.25,-0.0225
193101,16.6,0.166
193102,-2.62,-0.0262
193103,5.31,0.0531
193104,-5.57,-0.0557
193105,-3.59,-0.0359
193106,18,0.18
193107,7.57,0.0757
193108,1.76,0.0176
193109,2.5,0.025
193110,18.53,0.1853
193111,1.37,0.0137
193112,-5.99,-0.0599
193201,16.15,0.1615
193202,9.5,0.095
193203,-0.85,-0.0085
193204,-3.05,-0.0305
193205,-1.12,-0.0112
193206,16.13,0.1613
193207,-1.88,-0.0188
193208,-19.07,-0.1907
193209,9.54,0.0954
193210,-1.36,-0.0136
193211,-0.14,-0.0014
193212,-0.84,-0.0084
193301,7.54,0.0754
193302,3.13,0.0313
193303,10.72,0.1072
193304,-11.64,-0.1164
193305,-0.31,-0.0031
193306,-0.29,-0.0029
193307,8.12,0.0812
193308,8.29,0.0829
193309,-0.34,-0.0034
193310,-1.38,-0.0138
193311,5.92,0.0592
193312,-0.53,-0.0053
193401,9.66,0.0966
193402,2.25,0.0225
193403,1.3,0.013
193404,0.2,0.002
193405,-6.04,-0.0604
193406,-0.85,-0.0085
193407,-4.91,-0.0491
193408,13.35,0.1335
193409,1.82,0.0182
193410,-0.15,-0.0015
193411,2.21,0.0221
193412,-2.5,-0.025
193501,2.72,0.0272
193502,-2.85,-0.0285
193503,-2.24,-0.0224
193504,2.82,0.0282
193505,3.85,0.0385
193506,2.59,0.0259
193507,-0.85,-0.0085
193508,-3.71,-0.0371
193509,-0.53,-0.0053
193510,1.5,0.015
193511,5.6,0.056
193512,-3.16,-0.0316
193601,-1.34,-0.0134
193602,1.87,0.0187
193603,1.73,0.0173
193604,-0.72,-0.0072
193605,3.35,0.0335
193606,1.27,0.0127
193607,2.71,0.0271
193608,-0.37,-0.0037
193609,1.21,0.0121
193610,0.38,0.0038
193611,-2.18,-0.0218
193612,-3.21,-0.0321
193701,-2.25,-0.0225
193702,2.37,0.0237
193703,-2.86,-0.0286
193704,1.59,0.0159
193705,0.02,0.0002
193706,-2.15,-0.0215
193707,6.59,0.0659
193708,4.1,0.041
193709,-6.24,-0.0624
193710,-3.67,-0.0367
193711,-1.63,-0.0163
193712,-3.14,-0.0314
193801,6.68,0.0668
193802,4.47,0.0447
193803,8.36,0.0836
193804,14.02,0.1402
193805,7.02,0.0702
193806,23.81,0.2381
193807,-3.87,-0.0387
193808,-1.09,-0.0109
193809,0.93,0.0093
193810,3.59,0.0359
193811,1.54,0.0154
193812,2.43,0.0243
193901,4.27,0.0427
193902,3.93,0.0393
193903,5.06,0.0506
193904,3.28,0.0328
193905,3.45,0.0345
193906,3.56,0.0356
193907,14.13,0.1413
193908,7.09,0.0709
193909,19.88,0.1988
193910,12.98,0.1298
193911,-9.06,-0.0906
193912,-0.9,-0.009
194001,3.18,0.0318
194002,2.69,0.0269
194003,2,0.02
194004,1.93,0.0193
194005,-0.5,-0.005
194006,5.71,0.0571
194007,2.49,0.0249
194008,1.35,0.0135
194009,-0.54,-0.0054
194010,0.3,0.003
194011,0.92,0.0092
194012,2.17,0.0217
194101,4.03,0.0403
194102,0.49,0.0049
194103,1.82,0.0182
194104,-1.91,-0.0191
194105,0.83,0.0083
194106,1.11,0.0111
194107,1.39,0.0139
194108,0.84,0.0084
194109,-0.47,-0.0047
194110,-1.96,-0.0196
194111,-1.88,-0.0188
194112,-1.92,-0.0192
194201,9.41,0.0941
194202,0.93,0.0093
194203,-2.03,-0.0203
194204,0.72,0.0072
194205,-0.37,-0.0037
194206,0.55,0.0055
194207,2.22,0.0222
194208,0.17,0.0017
194209,1.24,0.0124
194210,-1.39,-0.0139
194211,6.47,0.0647
194212,2,0.02
194301,5.71,0.0571
194302,-5.39,-0.0539
194303,-2.08,-0.0208
194304,1.25,0.0125
194305,-0.29,-0.0029
194306,1.89,0.0189
194307,0.22,0.0022
194308,2.43,0.0243
194309,0.56,0.0056
194310,3.03,0.0303
194311,-0.49,-0.0049
194312,8.62,0.0862
194401,1.08,0.0108
194402,0.27,0.0027
194403,-0.16,-0.0016
194404,1.95,0.0195
194405,2.5,0.025
194406,-1.43,-0.0143
194407,3.08,0.0308
194408,2.29,0.0229
194409,1.19,0.0119
194410,0.55,0.0055
194411,0.91,0.0091
194412,-1.81,-0.0181
194501,3.34,0.0334
194502,0.93,0.0093
194503,3.74,0.0374
194504,4.17,0.0417
194505,2.11,0.0211
194506,0,0
194507,3.45,0.0345
194508,1.89,0.0189
194509,0.06,0.0006
194510,-1.09,-0.0109
194511,-1.83,-0.0183
194512,2.22,0.0222
194601,1.84,0.0184
194602,2.85,0.0285
194603,-1.16,-0.0116
194604,-4.48,-0.0448
194605,2.07,0.0207
194606,1.49,0.0149
194607,-0.61,-0.0061
194608,-1.1,-0.011
194609,-3.02,-0.0302
194610,1.17,0.0117
194611,-0.1,-0.001
194612,-0.21,-0.0021
194701,4.53,0.0453
194702,0.78,0.0078
194703,0.25,0.0025
194704,-2.87,-0.0287
194705,-2.17,-0.0217
194706,0.35,0.0035
194707,2.1,0.021
194708,1.51,0.0151
194709,-0.64,-0.0064
194710,2.29,0.0229
194711,-0.01,-0.0001
194712,-0.58,-0.0058
194801,4.06,0.0406
194802,0.68,0.0068
194803,5.98,0.0598
194804,-0.28,-0.0028
194805,1.07,0.0107
194806,1.12,0.0112
194807,1.44,0.0144
194808,0.55,0.0055
194809,0.33,0.0033
194810,2.37,0.0237
194811,3.94,0.0394
194812,0.09,0.0009
194901,4.31,0.0431
194902,-1.15,-0.0115
194903,2.77,0.0277
194904,0.63,0.0063
194905,-1.74,-0.0174
194906,-0.25,-0.0025
194907,2.6,0.026
194908,1.19,0.0119
194909,0.42,0.0042
194910,0.55,0.0055
194911,-0.22,-0.0022
194912,0.63,0.0063
195001,0.71,0.0071
195002,1.13,0.0113
195003,0.96,0.0096
195004,2.01,0.0201
195005,-1,-0.01
195006,0.97,0.0097
195007,0.65,0.0065
195008,5.17,0.0517
195009,0.37,0.0037
195010,2.76,0.0276
195011,1.05,0.0105
195012,-5.69,-0.0569
195101,3.09,0.0309
195102,2.47,0.0247
195103,-0.36,-0.0036
195104,1.75,0.0175
195105,1.86,0.0186
195106,-2.01,-0.0201
195107,4.12,0.0412
195108,0.17,0.0017
195109,1.22,0.0122
195110,2.5,0.025
195111,1.14,0.0114
195112,1.45,0.0145
195201,1.82,0.0182
195202,1.09,0.0109
195203,0.62,0.0062
195204,0.37,0.0037
195205,1.67,0.0167
195206,0.77,0.0077
195207,1.12,0.0112
195208,0.35,0.0035
195209,-1.17,-0.0117
195210,0.75,0.0075
195211,1.83,0.0183
195212,2.05,0.0205
195301,2.14,0.0214
195302,-0.57,-0.0057
195303,0.74,0.0074
195304,0.72,0.0072
195305,0.32,0.0032
195306,-0.08,-0.0008
195307,0.75,0.0075
195308,0.36,0.0036
195309,-0.77,-0.0077
195310,0.26,0.0026
195311,-0.21,-0.0021
195312,-1.27,-0.0127
195401,4.98,0.0498
195402,1.27,0.0127
195403,0.14,0.0014
195404,-1.41,-0.0141
195405,2.55,0.0255
195406,1.93,0.0193
195407,1.2,0.012
195408,2.07,0.0207
195409,-0.37,-0.0037
195410,0.36,0.0036
195411,-0.56,-0.0056
195412,-0.15,-0.0015
195501,1.77,0.0177
195502,1.7,0.017
195503,1.25,0.0125
195504,1.28,0.0128
195505,0.05,0.0005
195506,-0.8,-0.008
195507,-1.44,-0.0144
195508,2.52,0.0252
195509,2.54,0.0254
195510,0.06,0.0006
195511,3.64,0.0364
195512,-0.16,-0.0016
195601,1.03,0.0103
195602,2.92,0.0292
195603,-2.42,-0.0242
195604,-1.5,-0.015
195605,1.93,0.0193
195606,0.8,0.008
195607,-1.14,-0.0114
195608,2.07,0.0207
195609,-1.38,-0.0138
195610,0.5,0.005
195611,-1.47,-0.0147
195612,0.05,0.0005
195701,3.62,0.0362
195702,-0.16,-0.0016
195703,1.07,0.0107
195704,-0.59,-0.0059
195705,0.2,0.002
195706,-0.82,-0.0082
195707,0.56,0.0056
195708,0.33,0.0033
195709,-4.06,-0.0406
195710,-3.5,-0.035
195711,-0.15,-0.0015
195712,-1.2,-0.012
195801,5.48,0.0548
195802,1.76,0.0176
195803,1.15,0.0115
195804,-0.42,-0.0042
195805,1.19,0.0119
195806,1.95,0.0195
195807,2.8,0.028
195808,1.72,0.0172
195809,2.56,0.0256
195810,1.35,0.0135
195811,0.7,0.007
195812,1.9,0.019
195901,1.11,0.0111
195902,0.57,0.0057
195903,0.41,0.0041
195904,0.06,0.0006
195905,-0.75,-0.0075
195906,0.93,0.0093
195907,-0.13,-0.0013
195908,-0.51,-0.0051
195909,-0.11,-0.0011
195910,1.17,0.0117
195911,-1.7,-0.017
195912,1.42,0.0142
196001,3.71,0.0371
196002,-0.52,-0.0052
196003,-0.77,-0.0077
196004,-2.29,-0.0229
196005,-3.54,-0.0354
196006,1.12,0.0112
196007,1.07,0.0107
196008,-1.37,-0.0137
196009,-0.04,-0.0004
196010,-2.13,-0.0213
196011,1.05,0.0105
196012,0.78,0.0078
196101,1.17,0.0117
196102,1.32,0.0132
196103,1.5,0.015
196104,1.93,0.0193
196105,3.51,0.0351
196106,1.32,0.0132
196107,1.43,0.0143
196108,1.13,0.0113
196109,-1.65,-0.0165
196110,-1.4,-0.014
196111,-0.47,-0.0047
196112,1.15,0.0115
196201,0.94,0.0094
196202,0.86,0.0086
196203,0.71,0.0071
196204,-0.82,-0.0082
196205,-0.18,-0.0018
196206,-2.82,-0.0282
196207,3.53,0.0353
196208,-0.12,-0.0012
196209,2.42,0.0242
196210,-2.07,-0.0207
196211,5.3,0.053
196212,5.02,0.0502
196301,4.56,0.0456
196302,1.54,0.0154
196303,1.42,0.0142
196304,-0.93,-0.0093
196305,0.14,0.0014
196306,1.81,0.0181
196307,-0.08,-0.0008
196308,1.3,0.013
196309,1.19,0.0119
196310,-0.66,-0.0066
196311,1.12,0.0112
196312,0.27,0.0027
196401,-0.16,-0.0016
196402,0.19,0.0019
196403,0.23,0.0023
196404,3.45,0.0345
196405,-1.22,-0.0122
196406,0.48,0.0048
196407,1.82,0.0182
196408,-1.11,-0.0111
196409,1.25,0.0125
196410,1.11,0.0111
196411,-0.68,-0.0068
196412,0.85,0.0085
196501,2.95,0.0295
196502,-0.51,-0.0051
196503,1.39,0.0139
196504,0.4,0.004
196505,0.21,0.0021
196506,0.39,0.0039
196507,2.58,0.0258
196508,-1.4,-0.014
196509,-1.37,-0.0137
196510,-1.27,-0.0127
196511,-2.42,-0.0242
196512,2.82,0.0282
196601,0.51,0.0051
196602,-2.73,-0.0273
196603,-0.32,-0.0032
196604,-0.87,-0.0087
196605,3.48,0.0348
196606,2.56,0.0256
196607,1.25,0.0125
196608,0.3,0.003
196609,1.04,0.0104
196610,-1.53,-0.0153
196611,9.04,0.0904
196612,0.28,0.0028
196701,3.53,0.0353
196702,1.3,0.013
196703,1.83,0.0183
196704,0.56,0.0056
196705,1.81,0.0181
196706,-1.09,-0.0109
196707,0.21,0.0021
196708,0.67,0.0067
196709,-0.64,-0.0064
196710,-2.38,-0.0238
196711,0.2,0.002
196712,-0.04,-0.0004
196801,3.96,0.0396
196802,-0.87,-0.0087
196803,1.54,0.0154
196804,-0.74,-0.0074
196805,-1.96,-0.0196
196806,3.74,0.0374
196807,-1.33,-0.0133
196808,0.71,0.0071
196809,-0.15,-0.0015
196810,1.34,0.0134
196811,3.29,0.0329
196812,2.39,0.0239
196901,2.52,0.0252
196902,2.39,0.0239
196903,0.29,0.0029
196904,-0.96,-0.0096
196905,1.44,0.0144
196906,-0.11,-0.0011
196907,-1.61,-0.0161
196908,3.28,0.0328
196909,0.63,0.0063
196910,-0.48,-0.0048
196911,1.04,0.0104
196912,-2.86,-0.0286
197001,-0.26,-0.0026
197002,2.82,0.0282
197003,0.63,0.0063
197004,-4.54,-0.0454
197005,-3.16,-0.0316
197006,-0.1,-0.001
197007,3.97,0.0397
197008,1.52,0.0152
197009,0.57,0.0057
197010,6.79,0.0679
197011,-0.52,-0.0052
197012,2.37,0.0237
197101,1.88,0.0188
197102,1.76,0.0176
197103,0.1,0.001
197104,0.92,0.0092
197105,0.53,0.0053
197106,-0.99,-0.0099
197107,1.37,0.0137
197108,5.57,0.0557
197109,0.29,0.0029
197110,-1.25,-0.0125
197111,-0.82,-0.0082
197112,3.65,0.0365
197201,-0.58,-0.0058
197202,-0.1,-0.001
197203,1.46,0.0146
197204,0.13,0.0013
197205,-0.93,-0.0093
197206,-1.74,-0.0174
197207,-2.32,-0.0232
197208,0.7,0.007
197209,1.48,0.0148
197210,-0.93,-0.0093
197211,3.28,0.0328
197212,3.89,0.0389
197301,-1.37,-0.0137
197302,-2.2,-0.022
197303,0.43,0.0043
197304,-0.68,-0.0068
197305,-1.11,-0.0111
197306,0.11,0.0011
197307,9.47,0.0947
197308,1.71,0.0171
197309,1.65,0.0165
197310,1.82,0.0182
197311,-4.67,-0.0467
197312,0.39,0.0039
197401,9.23,0.0923
197402,0.73,0.0073
197403,4.12,0.0412
197404,-1.39,-0.0139
197405,-2.72,-0.0272
197406,-0.95,-0.0095
197407,0.85,0.0085
197408,2.04,0.0204
197409,3.26,0.0326
197410,8.72,0.0872
197411,-0.3,-0.003
197412,-0.38,-0.0038
197501,14.57,0.1457
197502,4.55,0.0455
197503,3.5,0.035
197504,-0.46,-0.0046
197505,3.76,0.0376
197506,3.29,0.0329
197507,1.21,0.0121
197508,0.64,0.0064
197509,-0.31,-0.0031
197510,1.56,0.0156
197511,-2.52,-0.0252
197512,3.26,0.0326
197601,2.84,0.0284
197602,-2.48,-0.0248
197603,4.43,0.0443
197604,2.13,0.0213
197605,-0.77,-0.0077
197606,0.63,0.0063
197607,1.68,0.0168
197608,-2.04,-0.0204
197609,-0.32,-0.0032
197610,1.14,0.0114
197611,0.54,0.0054
197612,3.64,0.0364
197701,0.54,0.0054
197702,1.38,0.0138
197703,1.03,0.0103
197704,-1.22,-0.0122
197705,-0.32,-0.0032
197706,0.09,0.0009
197707,1.03,0.0103
197708,-0.71,-0.0071
197709,0.83,0.0083
197710,1.76,0.0176
197711,2.22,0.0222
197712,-0.13,-0.0013
197801,1.07,0.0107
197802,1.17,0.0117
197803,-0.27,-0.0027
197804,0.22,0.0022
197805,0.08,0.0008
197806,1.35,0.0135
197807,0.91,0.0091
197808,0.87,0.0087
197809,3.65,0.0365
197810,-1.84,-0.0184
197811,9.15,0.0915
197812,-0.39,-0.0039
197901,5.62,0.0562
197902,1.31,0.0131
197903,1.47,0.0147
197904,-0.4,-0.004
197905,1.17,0.0117
197906,1.19,0.0119
197907,0.6,0.006
197908,0.79,0.0079
197909,-1.63,-0.0163
197910,-1.94,-0.0194
197911,1.31,0.0131
197912,-1.89,-0.0189
198001,-3.41,-0.0341
198002,-4.91,-0.0491
198003,8.46,0.0846
198004,1.4,0.014
198005,2.84,0.0284
198006,2.24,0.0224
198007,2.95,0.0295
198008,-0.84,-0.0084
198009,-1.52,-0.0152
198010,-1.96,-0.0196
198011,-9.71,-0.0971
198012,6.38,0.0638
198101,-2.29,-0.0229
198102,-2.33,-0.0233
198103,1.59,0.0159
198104,-1.5,-0.015
198105,-3.78,-0.0378
198106,4.78,0.0478
198107,-0.56,-0.0056
198108,-0.65,-0.0065
198109,-1.11,-0.0111
198110,4.55,0.0455
198111,2.67,0.0267
198112,1.66,0.0166
198201,-1.37,-0.0137
198202,-4.31,-0.0431
198203,-1.89,-0.0189
198204,1.65,0.0165
198205,1.99,0.0199
198206,0.15,0.0015
198207,-2.88,-0.0288
198208,1.14,0.0114
198209,4.52,0.0452
198210,2.97,0.0297
198211,-4.48,-0.0448
198212,3.8,0.038
198301,3.18,0.0318
198302,2.63,0.0263
198303,0.34,0.0034
198304,-0.55,-0.0055
198305,2.73,0.0273
198306,0.18,0.0018
198307,2.04,0.0204
198308,-0.65,-0.0065
198309,2.36,0.0236
198310,-1.63,-0.0163
198311,4.94,0.0494
198312,1.97,0.0197
198401,0.64,0.0064
198402,-2.06,-0.0206
198403,2.51,0.0251
198404,1.61,0.0161
198405,0.81,0.0081
198406,0.96,0.0096
198407,-1.45,-0.0145
198408,7.29,0.0729
198409,4.28,0.0428
198410,-1.21,-0.0121
198411,-0.67,-0.0067
198412,0.8,0.008
198501,2.32,0.0232
198502,2.5,0.025
198503,-1.37,-0.0137
198504,-2.46,-0.0246
198505,-0.54,-0.0054
198506,-0.67,-0.0067
198507,3.62,0.0362
198508,1.77,0.0177
198509,-1.85,-0.0185
198510,0.66,0.0066
198511,2.41,0.0241
198512,-0.34,-0.0034
198601,0.84,0.0084
198602,-1.69,-0.0169
198603,-0.07,-0.0007
198604,2.82,0.0282
198605,1.05,0.0105
198606,-2.48,-0.0248
198607,-2.86,-0.0286
198608,1.14,0.0114
198609,-0.31,-0.0031
198610,3.58,0.0358
198611,0.71,0.0071
198612,0.61,0.0061
198701,0.31,0.0031
198702,-1.11,-0.0111
198703,1.81,0.0181
198704,-1.9,-0.019
198705,-0.3,-0.003
198706,0.01,0.0001
198707,-0.22,-0.0022
198708,2.45,0.0245
198709,-0.4,-0.004
198710,-0.13,-0.0013
198711,-0.87,-0.0087
198712,5.8,0.058
198801,7.91,0.0791
198802,4.36,0.0436
198803,-0.84,-0.0084
198804,0.23,0.0023
198805,0.65,0.0065
198806,1.87,0.0187
198807,3.36,0.0336
198808,-1.93,-0.0193
198809,-0.12,-0.0012
198810,-1,-0.01
198811,-0.67,-0.0067
198812,2.29,0.0229
198901,0.97,0.0097
198902,1.07,0.0107
198903,-0.89,-0.0089
198904,-0.65,-0.0065
