year,month,rank_ILR_1,nstocks,ret_vw
1967,1,1,238,14.0824
1967,1,2,225,8.5556
1967,1,3,282,12.4152
1967,1,4,322,12.3401
1967,1,5,281,10.7778
1967,1,6,271,11.0547
1967,1,7,212,11.6536
1967,1,8,84,14.8453
1967,1,9,47,10.0307
1967,2,1,143,2.5487
1967,2,2,312,1.6231
1967,2,3,119,3.5429
1967,2,4,267,3.1782
1967,2,5,283,1.0847
1967,2,6,255,3.8885
1967,2,7,285,-0.3885
1967,2,8,202,3.2562
1967,2,9,100,1.9022
1967,3,1,122,1.7401
1967,3,2,383,4.4743
1967,3,3,233,3.7438
1967,3,4,264,6.5387
1967,3,5,200,7.1058
1967,3,6,375,3.8639
1967,3,7,180,7.0311
1967,3,8,93,10.2869
1967,3,9,120,5.4191
1967,4,1,68,6.4731
1967,4,2,357,5.2072
1967,4,3,268,2.9629
1967,4,4,322,5.7394
1967,4,5,302,3.1230
1967,4,6,147,4.7358
1967,4,7,120,4.1930
1967,4,8,205,6.5101
1967,4,9,178,7.9838
1967,5,1,69,-1.6666
1967,5,2,376,1.6899
1967,5,3,272,-2.0093
1967,5,4,251,-3.6770
1967,5,5,278,-1.2815
1967,5,6,247,-4.3725
1967,5,7,120,-2.2652
1967,5,8,154,-1.8217
1967,5,9,202,-6.3987
1967,6,1,147,7.2434
1967,6,2,324,1.8743
1967,6,3,287,2.3769
1967,6,4,238,4.6676
1967,6,5,244,2.0634
1967,6,6,349,4.3281
1967,6,7,174,4.3190
1967,6,8,86,8.0431
1967,6,9,114,9.0800
1967,7,1,224,5.1936
1967,7,2,225,4.1205
1967,7,3,421,7.4158
1967,7,4,318,4.5499
1967,7,5,335,7.8542
1967,7,6,94,5.8106
1967,7,7,155,5.6354
1967,7,8,112,7.0570
1967,7,9,81,4.4575
1967,8,1,83,-0.3332
1967,8,2,194,1.8901
1967,8,3,95,-0.9468
1967,8,4,228,-0.9144
1967,8,5,304,-0.2281
1967,8,6,531,0.2310
1967,8,7,299,-0.6285
1967,8,8,175,-2.5300
1967,8,9,49,-4.1748
1967,9,1,34,4.6284
1967,9,2,89,1.6814
1967,9,3,257,3.5087
1967,9,4,296,3.4055
1967,9,5,326,5.4570
1967,9,6,256,3.1731
1967,9,7,321,4.5603
1967,9,8,218,5.3242
1967,9,9,165,6.6625
1967,10,1,145,-3.1274
1967,10,2,276,-7.0354
1967,10,3,243,-3.6728
1967,10,4,311,-2.0480
1967,10,5,280,-2.5388
1967,10,6,285,-3.7366
1967,10,7,192,-1.7001
1967,10,8,123,2.9071
1967,10,9,111,0.6558
1967,11,1,202,0.9746
1967,11,2,282,-0.0996
1967,11,3,429,0.2541
1967,11,4,126,-0.8583
1967,11,5,149,-1.1685
1967,11,6,187,2.7401
1967,11,7,363,1.0592
1967,11,8,150,0.3619
1967,11,9,79,0.6104
1967,12,1,62,5.4196
1967,12,2,209,5.6277
1967,12,3,249,4.1409
1967,12,4,313,4.2917
1967,12,5,356,4.4220
1967,12,6,276,3.6083
1967,12,7,187,8.2220
1967,12,8,252,5.4028
1967,12,9,65,5.1152
1968,1,1,156,-6.4996
1968,1,2,149,-2.0184
1968,1,3,333,-4.4349
1968,1,4,295,-4.5342
1968,1,5,327,-3.6043
1968,1,6,362,-3.3947
1968,1,7,148,-0.0893
1968,1,8,73,-1.0233
1968,1,9,125,-4.2969
1968,2,1,158,-5.8400
1968,2,2,156,-6.6977
1968,2,3,203,-5.4552
1968,2,4,261,-4.0285
1968,2,5,279,-7.0255
1968,2,6,68,-4.5494
1968,2,7,298,-2.8731
1968,2,8,418,-3.8888
1968,2,9,118,0.4273
1968,3,1,105,-0.6290
1968,3,2,189,1.3672
1968,3,3,223,1.4407
1968,3,4,156,0.7166
1968,3,5,190,0.6937
1968,3,6,337,0.8617
1968,3,7,292,1.0190
1968,3,8,273,-1.1572
1968,3,9,197,-1.2291
1968,4,1,173,12.7599
1968,4,2,202,16.2634
1968,4,3,214,7.8409
1968,4,4,339,10.6072
1968,4,5,332,12.3339
1968,4,6,184,11.2072
1968,4,7,238,12.5482
1968,4,8,173,11.4158
1968,4,9,116,15.5292
1968,5,1,185,0.4298
1968,5,2,303,3.5180
1968,5,3,80,4.8760
1968,5,4,284,4.7355
1968,5,5,314,5.3311
1968,5,6,246,4.9881
1968,5,7,324,3.7102
1968,5,8,170,7.7855
1968,5,9,67,7.8866
1968,6,1,234,-0.2617
1968,6,2,272,2.7036
1968,6,3,211,-0.2287
1968,6,4,414,0.8140
1968,6,5,131,-1.4146
1968,6,6,254,-1.1165
1968,6,7,310,3.1715
1968,6,8,90,-1.7919
1968,6,9,61,1.1374
1968,7,1,70,-4.0511
1968,7,2,241,-5.5976
1968,7,3,341,-4.5271
1968,7,4,125,-5.5780
1968,7,5,423,-3.4373
1968,7,6,236,-3.7023
