"","year","month","return"
"1",1967,1,-0.086986
"11",1967,2,0.050862
"21",1967,3,0.00319999999999999
"31",1967,4,0.0282
"41",1967,5,-0.019194
"51",1967,6,-0.018779
"61",1967,7,-0.018351
"71",1967,8,-0.028122
"81",1967,9,0.01402
"91",1967,10,0.045309
"101",1967,11,0.027962
"111",1967,12,-0.026127
"121",1968,1,-0.026154
"131",1968,2,0.022375
"141",1968,3,0.056603
"151",1968,4,0.016649
"161",1968,5,-0.002326
"171",1968,6,-0.002949
"181",1968,7,0.012135
"191",1968,8,0.021792
"201",1968,9,-0.078512
"211",1968,10,-0.013383
"221",1968,11,-0.00489000000000001
"231",1968,12,-0.011818
"241",1969,1,-0.002565
"251",1969,2,0.028767
"261",1969,3,0.037331
"271",1969,4,0.014113
"281",1969,5,0.048092
"291",1969,6,0.060426
"301",1969,7,0.052732
"311",1969,8,0.025298
"321",1969,9,0.011593
"331",1969,10,0.001853
"341",1969,11,0.031384
"351",1969,12,0.094595
"361",1970,1,-0.00826199999999999
"371",1970,2,-0.040886
"381",1970,3,-0.032983
"391",1970,4,0.036985
"401",1970,5,0.054674
"411",1970,6,0.077756
"421",1970,7,0.018071
"431",1970,8,0.018186
"441",1970,9,-0.018356
"451",1970,10,0.117426
"461",1970,11,0.013583
"471",1970,12,-0.03202
"481",1971,1,-0.070241
"491",1971,2,0.031733
"501",1971,3,0.029295
"511",1971,4,-0.006673
"521",1971,5,0.007292
"531",1971,6,0.086755
"541",1971,7,0.039885
"551",1971,8,-0.05006
"561",1971,9,0.045448
"571",1971,10,0.052723
"581",1971,11,0.020187
"591",1971,12,-0.025972
"601",1972,1,-0.023
"611",1972,2,0.01704
"621",1972,3,0.007301
"631",1972,4,-0.011111
"641",1972,5,0.050038
"651",1972,6,0.069301
"661",1972,7,0.073224
"671",1972,8,-0.036774
"681",1972,9,0.049654
"691",1972,10,0.018564
"701",1972,11,-0.058195
"711",1972,12,0.075135
"721",1973,1,0.072583
"731",1973,2,0.002882
"741",1973,3,-0.001502
"751",1973,4,0.05039
"761",1973,5,0.087438
"771",1973,6,0.058977
"781",1973,7,-0.059692
"791",1973,8,-0.038173
"801",1973,9,-0.050902
"811",1973,10,-0.019679
"821",1973,11,0.094766
"831",1973,12,-0.037244
"841",1974,1,-0.125222
"851",1974,2,-0.03054
"861",1974,3,0.016436
"871",1974,4,0.025283
"881",1974,5,0.078416
"891",1974,6,0.030971
"901",1974,7,-0.036323
"911",1974,8,-0.052388
"921",1974,9,-0.062348
"931",1974,10,0.246622
"941",1974,11,0.00429700000000001
"951",1974,12,-0.003951
"961",1975,1,-0.146932
"971",1975,2,0.082715
"981",1975,3,-0.032973
"991",1975,4,-0.007538
"1001",1975,5,0.047205
"1011",1975,6,-0.060201
"1021",1975,7,-0.05481
"1031",1975,8,-0.064733
"1041",1975,9,-0.000615999999999998
"1051",1975,10,0.107397
"1061",1975,11,0.022763
"1071",1975,12,-0.050281
"1081",1976,1,-0.10012
"1091",1976,2,-0.083894
"1101",1976,3,0.048844
"1111",1976,4,-0.034279
"1121",1976,5,-0.026818
"1131",1976,6,-0.027435
"1141",1976,7,0.004179
"1151",1976,8,0.02929
"1161",1976,9,0.00768
"1171",1976,10,0.012543
"1181",1976,11,-0.043996
"1191",1976,12,-0.025311
"1201",1977,1,-0.066072
"1211",1977,2,0.003707
"1221",1977,3,-0.004176
"1231",1977,4,-0.02723
"1241",1977,5,0.029258
"1251",1977,6,0.049483
"1261",1977,7,0.043647
"1271",1977,8,0.043602
"1281",1977,9,-0.002679
"1291",1977,10,-0.004825
"1301",1977,11,0.023918
"1311",1977,12,0.009736
"1321",1978,1,-0.002036
"1331",1978,2,-0.018889
"1341",1978,3,-0.027732
"1351",1978,4,0.027661
"1361",1978,5,0.039571
"1371",1978,6,0.034565
"1381",1978,7,-0.00375599999999999
"1391",1978,8,-0.010079
"1401",1978,9,-0.026266
"1411",1978,10,0.025261
"1421",1978,11,0.016148
"1431",1978,12,0.052433
"1441",1979,1,-0.059854
"1451",1979,2,-0.02065
"1461",1979,3,-0.04781
"1471",1979,4,0.00051
"1481",1979,5,-0.030983
"1491",1979,6,0.00806200000000001
"1501",1979,7,-0.006077
"1511",1979,8,0.025835
"1521",1979,9,-0.033499
"1531",1979,10,0.046812
"1541",1979,11,0.042433
"1551",1979,12,-0.005469
"1561",1980,1,-0.07701
"1571",1980,2,-0.017197
"1581",1980,3,0.101332
"1591",1980,4,0.035804
"1601",1980,5,0.018777
"1611",1980,6,-0.026679
"1621",1980,7,0.001059
"1631",1980,8,-0.031034
"1641",1980,9,0.003907
"1651",1980,10,-0.000291999999999999
"1661",1980,11,-0.012581
"1671",1980,12,0.058816
"1681",1981,1,0.00431699999999999
"1691",1981,2,0.00639199999999999
"1701",1981,3,-0.071308
"1711",1981,4,0.041113
"1721",1981,5,0.024977
"1731",1981,6,-0.008359
"1741",1981,7,-0.023082
"1751",1981,8,0.02003
"1761",1981,9,0.087085
"1771",1981,10,0.100268
"1781",1981,11,-0.019577
"1791",1981,12,0.007984
"1801",1982,1,0.067858
"1811",1982,2,0.026186
"1821",1982,3,-0.000749000000000001
"1831",1982,4,0.040835
"1841",1982,5,-0.016573
"1851",1982,6,0.029771
"1861",1982,7,0.045655
"1871",1982,8,-0.00881899999999999
"1881",1982,9,0.031387
"1891",1982,10,-0.03551
"1901",1982,11,0.041512
"1911",1982,12,-0.027129
"1921",1983,1,-0.035132
"1931",1983,2,0.026109
"1941",1983,3,0.021932
"1951",1983,4,-0.060583
"1961",1983,5,-0.052202
"1971",1983,6,-0.011215
"1981",1983,7,-0.02303
"1991",1983,8,-0.010313
"2001",1983,9,0.018462
"2011",1983,10,-0.000591
"2021",1983,11,0.007968
"2031",1983,12,-0.018382
"2041",1984,1,-0.019297
"2051",1984,2,0.003245
"2061",1984,3,0.006689
"2071",1984,4,0.019514
"2081",1984,5,0.035732
"2091",1984,6,0.049884
"2101",1984,7,0.017978
"2111",1984,8,-0.025551
"2121",1984,9,-0.039654
"2131",1984,10,0.031971
"2141",1984,11,0.010732
"2151",1984,12,-0.01243
"2161",1985,1,0.004966
"2171",1985,2,0.027229
"2181",1985,3,0.030344
"2191",1985,4,0.016208
"2201",1985,5,0.021666
"2211",1985,6,0.012734
"2221",1985,7,0.005114
"2231",1985,8,0.011202
"2241",1985,9,-0.006203
"2251",1985,10,0.049061
"2261",1985,11,0.016941
"2271",1985,12,0.00159899999999999
"2281",1986,1,0.029285
"2291",1986,2,0.015828
"2301",1986,3,0.034698
"2311",1986,4,0.035926
"2321",1986,5,0.051357
"2331",1986,6,0.060183
"2341",1986,7,0.03788
"2351",1986,8,-0.038531
"2361",1986,9,-0.091147
"2371",1986,10,0.031703
"2381",1986,11,-0.00945
"2391",1986,12,0.047255
"2401",1987,1,0.064933
"2411",1987,2,0.050998
"2421",1987,3,-0.036895
"2431",1987,4,-0.072698
"2441",1987,5,-0.009557
"2451",1987,6,0.030135
"2461",1987,7,-0.065743
"2471",1987,8,0.02407
"2481",1987,9,-0.005994
"2491",1987,10,0.052776
"2501",1987,11,-0.026626
"2511",1987,12,0.008297
"2521",1988,1,-0.026796
"2531",1988,2,-0.012164
"2541",1988,3,0.003548
"2551",1988,4,-0.041404
"2561",1988,5,-0.015196
"2571",1988,6,-0.012516
"2581",1988,7,0.006899
"2591",1988,8,0.031282
"2601",1988,9,0.037534
"2611",1988,10,-0.035873
"2621",1988,11,-0.023217
"2631",1988,12,0.015063
"2641",1989,1,-0.00950000000000001
"2651",1989,2,0.009469
"2661",1989,3,0.025157
"2671",1989,4,0.019005
"2681",1989,5,0.02998
"2691",1989,6,-0.002304
"2701",1989,7,0.038297
"2711",1989,8,-0.03821
"2721",1989,9,0.002495
"2731",1989,10,0.043155
"2741",1989,11,0.014967
"2751",1989,12,-0.011239
"2761",1990,1,-0.000377000000000002
"2771",1990,2,-0.055482
"2781",1990,3,0.013481
"2791",1990,4,0.05683
"2801",1990,5,0.043657
"2811",1990,6,0.075136
"2821",1990,7,0.003364
"2831",1990,8,0.00862
"2841",1990,9,0.016839
"2851",1990,10,0.032013
"2861",1990,11,0.08249
"2871",1990,12,0.04256
"2881",1991,1,0.006593
"2891",1991,2,0.010646
"2901",1991,3,0.056906
"2911",1991,4,-0.008885
"2921",1991,5,0.013419
"2931",1991,6,-0.007822
"2941",1991,7,0.035434
"2951",1991,8,0.048462
"2961",1991,9,0.024312
"2971",1991,10,0.013515
"2981",1991,11,0.072878
"2991",1991,12,0.124933
"3001",1992,1,-0.050701
"3011",1992,2,-0.033637
"3021",1992,3,-0.044178
"3031",1992,4,-0.049928
"3041",1992,5,0.032305
"3051",1992,6,-0.01512
"3061",1992,7,0.019468
"3071",1992,8,0.049751
"3081",1992,9,-0.009822
"3091",1992,10,0.039669
"3101",1992,11,0.016401
"3111",1992,12,-0.044771
"3121",1993,1,-0.060046
"3131",1993,2,-0.050355
"3141",1993,3,-0.011319
"3151",1993,4,-0.062361
"3161",1993,5,-0.004497
"3171",1993,6,-0.055347
"3181",1993,7,-0.05879
"3191",1993,8,0.021942
"3201",1993,9,0.036233
"3211",1993,10,0.018758
