"","year","month","return"
"1",1967,1,-0.040517
"10",1967,2,-0.00646500000000001
"19",1967,3,0.03679
"28",1967,4,0.015107
"37",1967,5,-0.047321
"46",1967,6,0.018366
"55",1967,7,-0.00736100000000001
"64",1967,8,-0.038416
"73",1967,9,0.020341
"82",1967,10,0.037832
"91",1967,11,-0.003642
"100",1967,12,-0.00304400000000001
"109",1968,1,0.022027
"118",1968,2,0.062673
"127",1968,3,-0.006001
"136",1968,4,0.027693
"145",1968,5,0.074568
"154",1968,6,0.013991
"163",1968,7,0.015178
"172",1968,8,0.032609
"181",1968,9,0.026452
"190",1968,10,-0.01152
"199",1968,11,-0.019978
"208",1968,12,0.009314
"217",1969,1,-0.044418
"226",1969,2,-0.012179
"235",1969,3,0.022414
"244",1969,4,0.048817
"253",1969,5,0.015122
"262",1969,6,0.024721
"271",1969,7,0.05805
"280",1969,8,0.018384
"289",1969,9,0.051115
"298",1969,10,0.09951
"307",1969,11,0.000946000000000002
"316",1969,12,0.093917
"325",1970,1,0.006041
"334",1970,2,0.025146
"343",1970,3,-0.006514
"352",1970,4,0.038641
"361",1970,5,0.089483
"370",1970,6,0.091897
"379",1970,7,-0.00895099999999999
"388",1970,8,0.034402
"397",1970,9,-0.09796
"406",1970,10,-0.03964
"415",1970,11,0.071612
"424",1970,12,-0.005288
"433",1971,1,-0.00557100000000001
"442",1971,2,0.049954
"451",1971,3,0.028202
"460",1971,4,-0.016335
"469",1971,5,0.022834
"478",1971,6,0.015762
"487",1971,7,-0.020808
"496",1971,8,-0.026512
"505",1971,9,0.009932
"514",1971,10,0.00444800000000001
"523",1971,11,0.007628
"532",1971,12,-0.00622599999999998
"541",1972,1,0.040476
"550",1972,2,0.0139
"559",1972,3,-0.022145
"568",1972,4,0.019623
"577",1972,5,0.022915
"586",1972,6,0.060481
"595",1972,7,-0.000355999999999999
"604",1972,8,-0.012092
"613",1972,9,-0.025764
"622",1972,10,0.034076
"631",1972,11,-0.044328
"640",1972,12,-0.062766
"649",1973,1,0.014879
"658",1973,2,0.076501
"667",1973,3,0.03785
"676",1973,4,0.074288
"685",1973,5,0.15908
"694",1973,6,0.067646
"703",1973,7,-0.08454
"712",1973,8,-0.036647
"721",1973,9,-0.046214
"730",1973,10,0.02457
"739",1973,11,0.098096
"748",1973,12,0.130402
"757",1974,1,-0.086926
"766",1974,2,0.046413
"775",1974,3,-0.07561
"784",1974,4,-0.00417
"793",1974,5,0.00650400000000001
"802",1974,6,0.001915
"811",1974,7,0.083785
"820",1974,8,0.010085
"829",1974,9,0.04214
"838",1974,10,-0.084993
"847",1974,11,0.043382
"856",1974,12,0.008926
"865",1975,1,-0.102271
"874",1975,2,0.02087
"883",1975,3,-0.076273
"892",1975,4,0.021714
"901",1975,5,0.002445
"910",1975,6,-0.013848
"919",1975,7,0.016002
"928",1975,8,-0.032379
"937",1975,9,-0.005218
"946",1975,10,-0.012332
"955",1975,11,0.001649
"964",1975,12,-0.012457
"973",1976,1,-0.031761
"982",1976,2,0.070011
"991",1976,3,-0.05227
"1000",1976,4,-0.048774
"1009",1976,5,0.06155
"1018",1976,6,0.052922
"1027",1976,7,-0.000933999999999997
"1036",1976,8,0.053088
"1045",1976,9,-0.025636
"1054",1976,10,0.015719
"1063",1976,11,0.002707
"1072",1976,12,0.004426
"1081",1977,1,0.102408
"1090",1977,2,-0.024033
"1099",1977,3,0.029878
"1108",1977,4,-0.011762
"1117",1977,5,0.027434
"1126",1977,6,0.017062
"1135",1977,7,0.039028
"1144",1977,8,0.021851
"1153",1977,9,0.019523
"1162",1977,10,0.007403
"1171",1977,11,-0.015008
"1180",1977,12,0.030597
"1189",1978,1,-0.004792
"1198",1978,2,-0.016975
"1207",1978,3,0.051354
"1216",1978,4,0.028017
"1225",1978,5,-0.00720100000000001
"1234",1978,6,0.023197
"1243",1978,7,0.031556
"1252",1978,8,0.018277
"1261",1978,9,-0.048455
"1270",1978,10,0.08352
"1279",1978,11,-0.071338
"1288",1978,12,0.040129
"1297",1979,1,-0.048163
"1306",1979,2,0.025733
"1315",1979,3,-0.01357
"1324",1979,4,0.014474
"1333",1979,5,-0.014498
"1342",1979,6,0.00543599999999999
"1351",1979,7,0.025212
"1360",1979,8,-0.00451500000000001
"1369",1979,9,0.04216
"1378",1979,10,-0.00732600000000001
"1387",1979,11,0.054497
"1396",1979,12,0.036302
"1405",1980,1,0.060676
"1414",1980,2,0.010139
"1423",1980,3,-0.098952
"1432",1980,4,0.02235
"1441",1980,5,0.006333
"1450",1980,6,0.044359
"1459",1980,7,0.062796
"1468",1980,8,0.027978
"1477",1980,9,0.091013
"1486",1980,10,0.039746
"1495",1980,11,0.103611
"1504",1980,12,0.003194
"1513",1981,1,0.036408
"1522",1981,2,0.062009
"1531",1981,3,-0.028616
"1540",1981,4,0.00169
"1549",1981,5,0.068594
"1558",1981,6,-0.086272
"1567",1981,7,0.029536
"1576",1981,8,0.085133
"1585",1981,9,-0.037893
"1594",1981,10,0.048644
"1603",1981,11,-0.035048
"1612",1981,12,-0.005169
"1621",1982,1,0.067264
"1630",1982,2,0.014184
"1639",1982,3,0.039105
"1648",1982,4,0.024235
"1657",1982,5,0.007532
"1666",1982,6,0.022517
"1675",1982,7,0.051071
"1684",1982,8,-0.050211
"1693",1982,9,0.010199
"1702",1982,10,0.054367
"1711",1982,11,0.089663
"1720",1982,12,-0.020722
"1729",1983,1,0.032101
"1738",1983,2,-0.100584
"1747",1983,3,0.009621
"1756",1983,4,0.010063
"1765",1983,5,-0.048559
"1774",1983,6,0.027585
"1783",1983,7,-0.020339
"1792",1983,8,0.004984
"1801",1983,9,-0.034658
"1810",1983,10,0.080646
"1819",1983,11,-0.06985
"1828",1983,12,0.002278
"1837",1984,1,0.026049
"1846",1984,2,0.02771
"1855",1984,3,-0.017813
"1864",1984,4,-0.038993
"1873",1984,5,-0.008086
"1882",1984,6,0.039782
"1891",1984,7,0.100022
"1900",1984,8,-0.041913
"1909",1984,9,-0.078094
"1918",1984,10,0.030391
"1927",1984,11,-0.002673
"1936",1984,12,-0.016725
"1945",1985,1,-0.02398
"1954",1985,2,-0.019931
"1963",1985,3,0.020695
"1972",1985,4,0.03644
"1981",1985,5,0.020247
"1990",1985,6,0.02839
"1999",1985,7,-0.08286
"2008",1985,8,-0.025481
"2017",1985,9,0.052129
"2026",1985,10,0.071666
"2035",1985,11,-0.02229
"2044",1985,12,0.018122
"2053",1986,1,0.012308
"2062",1986,2,0.057704
"2071",1986,3,0.021345
"2080",1986,4,-0.012574
"2089",1986,5,-0.003101
"2098",1986,6,0.026072
"2107",1986,7,-0.00609799999999999
"2116",1986,8,0.036651
"2125",1986,9,0.063203
"2134",1986,10,-0.092079
"2143",1986,11,0.002599
"2152",1986,12,0.007024
"2161",1987,1,0.021303
"2170",1987,2,-0.010224
"2179",1987,3,0.051829
"2188",1987,4,0.053883
"2197",1987,5,-0.014981
"2206",1987,6,-0.033088
"2215",1987,7,-0.00991300000000001
"2224",1987,8,-0.070802
"2233",1987,9,-0.016349
"2242",1987,10,-0.024361
"2251",1987,11,-0.007234
"2260",1987,12,-0.079537
"2269",1988,1,-0.052687
"2278",1988,2,-0.061773
"2287",1988,3,0.019977
"2296",1988,4,0.010989
"2305",1988,5,0.01441
"2314",1988,6,-0.021529
"2323",1988,7,-0.027467
"2332",1988,8,0.052589
"2341",1988,9,0.029707
"2350",1988,10,0.001037
"2359",1988,11,0.015935
"2368",1988,12,-0.001139
"2377",1989,1,0.00436400000000001
"2386",1989,2,-0.00576
"2395",1989,3,0.029473
"2404",1989,4,0.032885
"2413",1989,5,0.03327
"2422",1989,6,-0.002287
"2431",1989,7,0.016847
"2440",1989,8,-0.065487
"2449",1989,9,-0.031466
"2458",1989,10,0.0393
"2467",1989,11,0.051944
"2476",1989,12,-0.004765
"2485",1990,1,-0.000670000000000004
"2494",1990,2,0.038835
"2503",1990,3,0.005157
"2512",1990,4,0.043396
"2521",1990,5,-0.013869
"2530",1990,6,0.025403
"2539",1990,7,-0.030263
"2548",1990,8,0.066088
