RPCA1,RPCA2,RPCA3,RPCA4,RPCA5
-0.111940989,-0.003886138,0.013508945,0.026228877,-0.020065243
-0.149904474,0.018145363,0.003141534,0.006653032,-0.007380058
-0.054739053,0.012057416,0.003076276,0.014252414,-0.004585877
-0.144214522,0.009934261,0.03103462,0.028203325,0.00643821
-0.145132257,0.044605441,-0.000712209,0.017069958,-0.001212877
-0.072347806,0.013175315,0.009454385,0.018946881,0.002631774
0.207374161,-0.048673461,-0.034413448,-0.026333756,0.007441359
-0.088138824,0.015912226,0.003487043,0.003478862,0.02063589
0.178683215,0.00082548,0.010858983,-0.027951824,0.019048445
-0.019089178,0.001626487,0.028268944,0.031136898,0.013441441
-0.359042332,0.01277105,-0.005717536,0.021980822,0.002310287
-0.017874199,0.055430255,0.013545174,0.01637899,0.028526096
0.140522146,-0.106582641,0.035414768,-0.000890517,-0.018518812
-0.001447951,0.005604533,0.012817485,0.006106374,0.004987643
-0.036985631,-0.036032695,0.008974058,0.004669587,-0.003475164
-0.121723283,-0.00888044,0.000287656,0.017957141,0.005925527
-0.149545638,0.011050297,-0.013327894,0.006896344,-0.005941484
-0.069231423,-0.006369919,0.010723093,0.016293594,0.00468785
-0.1158734,-0.032074104,0.020172205,-0.001901485,0.034091888
-0.180685986,-0.034468904,-0.001163559,0.01183856,0.015242873
-0.197547552,-0.04458173,0.021801392,3.18E-05,0.026394128
0.242384837,0.104903024,-0.016076407,0.004850162,-0.016680538
-0.095564737,0.01176347,0.005646512,0.002466037,0.023501239
-0.123583799,0.032454493,-0.002463353,0.00165098,0.00860407
0.469440301,-0.076957196,0.049948048,-0.032632508,-0.037360699
0.091130963,0.021664798,-0.005841636,0.009427722,-0.004731778
0.125282205,-0.034461646,-0.002809765,-0.001557356,-0.003723658
0.081784034,0.026497499,0.001382312,0.010094354,0.006419856
0.133125463,-0.006937386,0.004382804,0.005101778,-0.002483778
0.125421022,0.002347436,0.01948504,0.000917177,-0.009653363
-0.090485949,-0.057604231,0.013057696,0.009810777,0.000678706
-0.095539575,0.022389533,-0.001712355,-0.000358108,0.005234746
-0.087649379,-0.010185022,0.003800591,0.003845075,0.006117551
0.068394223,0.05518851,0.010495347,0.002553558,-0.004205945
0.052166829,0.020322165,0.013608351,0.000152481,0.003807393
-0.02539704,-0.004924738,0.001985809,-0.005978818,0.00500731
0.337725807,-0.02037019,0.050931585,0.028099683,-0.0073228
0.116601742,-0.084956586,0.017420247,0.013710163,-0.003434019
0.028698836,0.01370432,0.004899142,0.006945033,-0.006407355
-0.034339375,0.001790335,0.009737159,0.001289163,0.004836364
-0.042372171,0.008574927,-0.004509632,-0.00346344,0.002941973
0.08063463,0.030935106,0.006235639,-0.004497354,0.009876711
-0.011699374,-0.004887203,0.017322186,-0.000466826,0.003215
-0.038056387,0.017289108,0.00791737,0.000413411,-0.007028288
0.041555159,0.008843631,0.00388742,-0.000447749,0.005119795
-0.05158185,-0.007608752,0.003002034,-0.00482027,0.002448415
0.054081882,-0.012672535,0.012055526,-0.00265124,0.022970769
0.161616979,-0.014667082,0.023750607,0.00510833,-0.0053213
-0.008010994,-0.073543711,0.022583222,0.015223197,0.006344071
-0.035024065,-0.017301955,0.007706618,0.006248005,-0.002433839
-0.004711861,-0.016488745,0.007038088,-0.000124547,0.004871624
0.022690236,-0.004850973,0.015440672,0.009474401,0.009501847
-0.016369037,-0.0110696,0.008259339,0.00412876,0.008237201
