year,month,MKT,REG,PEAD,HMLM,STR,ILR,SMB,EPRD
1973,1,-0.0329,0.033322,-0.0362,0.014099192,-0.0137,0.014879,-0.0282,0.072583
1973,2,-0.0485,0.01522,0.0142,0.013490049,-0.022,0.076501,-0.039,0.002882
1973,3,-0.013,0.0321,0.0064,0.022751555,0.0043,0.03785,-0.0233,-0.001502
1973,4,-0.0568,0.040693,0.015,0.042903848,-0.0068,0.074288,-0.0295,0.05039
1973,5,-0.0294,0.015846,-1.00E-04,-0.018704998,-0.0111,0.15908,-0.0618,0.087438
1973,6,-0.0157,0.028658,0.0262,0.005545862,0.0011,0.067646,-0.0251,0.058977
1973,7,0.0505,-0.042331,-0.0185,-0.006308259,0.095,-0.08454,0.0726,-0.059692
1973,8,-0.0382,0.014525,0.0302,0.005135388,0.0171,-0.036647,-0.0179,-0.038173
1973,9,0.0475,-0.015413,0.0118,0.045168237,0.0165,-0.046214,0.0357,-0.050902
1973,10,-0.0083,0.040646,0.0246,-0.012794767,0.0182,0.02457,-0.003,-0.019679
1973,11,-0.1275,0.02074,0.045,0.016850852,-0.0467,0.098096,-0.0727,0.094766
1973,12,0.0061,0.046139,0.0488,0.008563653,0.0039,0.130402,-0.0466,-0.037244
1974,1,-0.0017,-0.005604,-0.0065,0.122377022,0.0923,-0.086926,0.1039,-0.125222
1974,2,-0.0047,0.014503,-0.0016,0.028743989,0.0073,0.046413,0.0012,-0.03054
1974,3,-0.0281,0.011626,0.0078,0.011999023,0.0412,-0.07561,0.0261,0.016436
1974,4,-0.0529,0.025414,0.0202,-0.00692155,-0.0139,-0.00417,-0.0069,0.025283
1974,5,-0.0468,0.002895,-0.0061,-0.01736443,-0.0272,0.006504,-0.0308,0.078416
1974,6,-0.0283,0.021438,0.0076,-0.006402095,-0.0095,0.001915,2.00E-04,0.030971
1974,7,-0.0805,0.056777,0.0144,0.05776017,0.0086,0.083785,0.0192,-0.036323
1974,8,-0.0935,0.048505,0.0283,0.018857372,0.0204,0.010085,0.0026,-0.052388
1974,9,-0.1177,0.033901,0.028,0.066058941,0.0326,0.04214,0.0148,-0.062348
1974,10,0.161,0.010374,0.0385,-0.0744145,0.0872,-0.084993,-0.0682,0.246622
1974,11,-0.0451,0.013758,0.0254,-0.003494382,-0.003,0.043382,-0.0148,0.004297
1974,12,-0.0345,0.02046,0.0179,-0.003405083,-0.0038,0.008926,-0.0435,-0.003951
1975,1,0.1366,-0.05404,-0.0574,0.184504238,0.1457,-0.102271,0.1292,-0.146932
1975,2,0.0556,0.006132,0.0089,-0.055616704,0.0455,0.02087,-0.0065,0.082715
1975,3,0.0266,-0.017983,0.0072,0.035586518,0.035,-0.076273,0.0399,-0.032973
