year,month,rank_EPRD,nstocks,ret_vw
1967,1,1,37,7.0446
1967,1,2,36,6.0606
1967,1,3,37,5.7054
1967,1,4,36,8.9419
1967,1,5,37,9.1539
1967,1,6,36,9.0607
1967,1,7,37,9.8230
1967,1,8,36,6.7880
1967,1,9,37,14.2673
1967,1,10,36,15.7432
1967,2,1,37,3.4127
1967,2,2,36,2.0053
1967,2,3,37,1.6722
1967,2,4,36,-0.9590
1967,2,5,37,2.2285
1967,2,6,36,0.1458
1967,2,7,37,-2.4214
1967,2,8,36,1.0399
1967,2,9,37,-1.6777
1967,2,10,36,-1.6735
1967,3,1,37,5.9220
1967,3,2,36,5.2477
1967,3,3,37,1.6151
1967,3,4,36,4.8006
1967,3,5,37,5.3844
1967,3,6,36,2.5934
1967,3,7,37,7.8419
1967,3,8,36,3.8809
1967,3,9,37,5.9085
1967,3,10,36,5.6020
1967,4,1,37,3.8103
1967,4,2,36,5.6670
1967,4,3,37,5.0827
1967,4,4,36,2.9843
1967,4,5,37,3.6490
1967,4,6,36,7.7303
1967,4,7,37,2.8310
1967,4,8,36,0.1993
1967,4,9,37,9.8189
1967,4,10,36,0.9903
1967,5,1,37,-3.1848
1967,5,2,36,-4.0524
1967,5,3,37,-5.7130
1967,5,4,36,-4.3647
1967,5,5,37,-4.6388
1967,5,6,36,-4.5454
1967,5,7,37,-5.0190
1967,5,8,36,-5.1917
1967,5,9,37,-6.6979
1967,5,10,36,-1.2654
1967,6,1,37,1.9866
1967,6,2,36,3.6745
1967,6,3,37,0.8354
1967,6,4,36,1.6729
1967,6,5,37,2.5710
1967,6,6,36,4.0508
1967,6,7,37,1.8317
1967,6,8,36,3.9514
1967,6,9,37,-0.9989
1967,6,10,36,3.8645
1967,7,1,38,4.9573
1967,7,2,37,4.8542
1967,7,3,37,4.9120
1967,7,4,38,6.6386
1967,7,5,37,6.2132
1967,7,6,38,7.3242
1967,7,7,37,5.1358
1967,7,8,37,-2.8141
1967,7,9,37,9.4474
1967,7,10,37,6.7924
1967,8,1,38,-1.2933
1967,8,2,37,-1.8038
1967,8,3,37,-0.2328
1967,8,4,38,0.4956
1967,8,5,37,-0.1440
1967,8,6,38,-1.2852
1967,8,7,37,-1.1088
1967,8,8,37,-1.1259
1967,8,9,37,-0.0439
1967,8,10,37,1.5189
1967,9,1,38,2.8337
1967,9,2,37,6.4684
1967,9,3,37,3.4565
1967,9,4,37,4.1828
1967,9,5,37,1.0762
1967,9,6,38,2.7585
1967,9,7,37,2.2189
1967,9,8,37,2.1461
1967,9,9,37,4.5333
1967,9,10,37,1.4317
1967,10,1,38,-3.1599
1967,10,2,37,2.5664
1967,10,3,37,-2.9080
1967,10,4,37,-4.4409
1967,10,5,37,-2.2515
1967,10,6,38,-1.3032
1967,10,7,37,-6.2274
1967,10,8,37,-4.4264
1967,10,9,37,-6.3048
1967,10,10,37,-7.6908
1967,11,1,38,1.8024
1967,11,2,37,1.5724
1967,11,3,37,0.9726
1967,11,4,38,-0.0012
1967,11,5,36,0.5557
1967,11,6,38,-3.1389
1967,11,7,37,-0.3473
1967,11,8,37,0.5949
1967,11,9,37,-1.6381
1967,11,10,37,-0.9938
1967,12,1,38,2.1010
1967,12,2,37,3.0416
1967,12,3,37,2.2208
1967,12,4,38,1.4183
1967,12,5,36,3.6070
1967,12,6,38,2.7034
1967,12,7,37,5.5270
1967,12,8,37,1.2063
1967,12,9,37,3.7505
1967,12,10,37,4.7137
1968,1,1,38,-6.4116
1968,1,2,37,-4.0812
1968,1,3,37,-3.5752
1968,1,4,38,-4.7286
1968,1,5,36,-5.7491
1968,1,6,38,-5.3247
1968,1,7,37,-8.6491
1968,1,8,37,0.1238
1968,1,9,37,-3.9678
1968,1,10,37,-3.7962
1968,2,1,38,-3.1194
1968,2,2,37,-1.6062
1968,2,3,37,-2.7260
1968,2,4,38,-3.1947
1968,2,5,36,-4.0608
1968,2,6,38,-2.7274
1968,2,7,37,-1.1934
1968,2,8,37,-2.5623
1968,2,9,37,-3.9113
1968,2,10,37,-5.3569
1968,3,1,38,2.4218
1968,3,2,37,3.5214
1968,3,3,37,0.9543
1968,3,4,38,0.4615
1968,3,5,36,-1.1220
1968,3,6,38,-0.6525
1968,3,7,37,-1.7148
1968,3,8,37,-0.1239
1968,3,9,37,-0.8170
1968,3,10,37,-3.2385
1968,4,1,38,11.7141
1968,4,2,37,8.6759
1968,4,3,37,9.0032
1968,4,4,38,10.5313
1968,4,5,36,11.1763
1968,4,6,38,6.3069
1968,4,7,37,9.5663
1968,4,8,37,4.0619
1968,4,9,37,9.3775
1968,4,10,37,10.0492
1968,5,1,38,2.8979
1968,5,2,37,1.7558
1968,5,3,37,0.6583
1968,5,4,38,0.0865
1968,5,5,36,0.5924
1968,5,6,38,-1.4858
1968,5,7,37,5.6624
1968,5,8,37,-0.9854
1968,5,9,37,0.7113
1968,5,10,37,3.1305
1968,6,1,38,0.2630
1968,6,2,37,-0.0824
1968,6,3,37,-0.6167
1968,6,4,38,1.1131
1968,6,5,36,1.3046
1968,6,6,38,2.8069
1968,6,7,37,0.0006
1968,6,8,37,2.9759
1968,6,9,37,-0.2615
1968,6,10,37,0.5579
1968,7,1,38,-3.2880
1968,7,2,37,-0.3169
1968,7,3,38,-1.3549
1968,7,4,38,-2.7562
1968,7,5,38,0.6894
1968,7,6,37,-3.8135
1968,7,7,38,-0.2204
1968,7,8,37,-5.7904
1968,7,9,38,-2.1066
1968,7,10,37,-4.5015
1968,8,1,38,2.1755
1968,8,2,37,0.8110
1968,8,3,38,2.0824
1968,8,4,38,1.3627
1968,8,5,38,3.3804
1968,8,6,37,2.5639
1968,8,7,38,1.9424
1968,8,8,37,2.2707
1968,8,9,38,1.3623
1968,8,10,37,-0.0037
1968,9,1,38,0.5487
1968,9,2,37,1.8224
1968,9,3,38,5.7669
1968,9,4,38,5.6519
1968,9,5,38,2.5490
1968,9,6,37,6.6548
1968,9,7,38,4.3569
1968,9,8,37,8.1621
1968,9,9,38,6.8958
1968,9,10,37,8.3999
1968,10,1,38,0.5237
1968,10,2,37,-1.7031
1968,10,3,38,0.9616
1968,10,4,38,1.3913
1968,10,5,38,0.9713
1968,10,6,37,2.0107
1968,10,7,37,2.5114
1968,10,8,37,-1.5298
1968,10,9,38,3.8701
1968,10,10,37,1.8620
1968,11,1,38,5.7895
1968,11,2,37,7.1279
1968,11,3,38,4.1973
1968,11,4,38,3.0434
1968,11,5,38,4.5990
1968,11,6,37,6.4947
1968,11,7,37,6.0009
1968,11,8,37,7.5411
1968,11,9,38,-0.5977
1968,11,10,36,6.2785
1968,12,1,38,-2.4354
1968,12,2,37,-5.3163
1968,12,3,38,-5.9986
1968,12,4,38,-3.2330
1968,12,5,38,-0.1258
1968,12,6,37,-0.9203
1968,12,7,38,-5.8428
1968,12,8,37,-4.5121
1968,12,9,38,-3.0772
1968,12,10,36,-1.2536
1969,1,1,38,-1.2948
1969,1,2,37,-3.1380
1969,1,3,38,-0.6686
1969,1,4,38,-2.9142
1969,1,5,38,-0.3455
1969,1,6,37,-2.5923
1969,1,7,38,2.0237
1969,1,8,37,-0.8993
1969,1,9,38,0.5867
1969,1,10,36,-1.0383
1969,2,1,38,-4.1849
1969,2,2,37,-2.4335
1969,2,3,38,-3.5896
1969,2,4,38,-4.4294
1969,2,5,38,-5.4490
1969,2,6,37,-4.8794
1969,2,7,38,-4.5421
1969,2,8,37,-8.1608
1969,2,9,38,-3.2917
1969,2,10,36,-7.0616
1969,3,1,38,5.0702
1969,3,2,37,5.4364
1969,3,3,38,5.6668
1969,3,4,38,2.7954
1969,3,5,38,3.0553
1969,3,6,37,0.0494
1969,3,7,38,0.5763
1969,3,8,37,3.0825
1969,3,9,38,4.1292
1969,3,10,36,1.3371
1969,4,1,38,1.8353
1969,4,2,37,3.0787
1969,4,3,38,2.6379
1969,4,4,38,-0.7705
1969,4,5,38,2.2484
1969,4,6,36,2.9271
1969,4,7,38,6.7623
1969,4,8,37,0.7433
1969,4,9,38,0.1950
1969,4,10,35,0.4240
1969,5,1,38,2.9760
1969,5,2,37,0.6418
1969,5,3,38,0.6159
1969,5,4,38,0.7881
1969,5,5,38,-1.6918
1969,5,6,36,-1.7227
1969,5,7,38,0.8768
1969,5,8,37,-1.6585
1969,5,9,38,1.1632
1969,5,10,35,-1.8332
1969,6,1,38,-5.7248
1969,6,2,37,-1.8141
1969,6,3,38,-5.7951
1969,6,4,38,-7.1219
1969,6,5,38,-9.3434
1969,6,6,37,-7.9098
1969,6,7,38,-5.4930
1969,6,8,37,-7.6907
1969,6,9,38,-5.4893
1969,6,10,35,-11.7674
1969,7,1,38,-4.6428
1969,7,2,37,-6.3876
1969,7,3,38,-5.9577
1969,7,4,38,-6.2274
1969,7,5,37,-7.1069
1969,7,6,38,-6.3297
1969,7,7,37,-10.3607
1969,7,8,38,-6.0568
1969,7,9,37,-5.5534
1969,7,10,37,-9.9160
1969,8,1,38,6.2332
1969,8,2,37,6.8817
1969,8,3,38,3.4720
1969,8,4,38,5.7882
1969,8,5,37,5.1877
1969,8,6,38,1.6070
1969,8,7,37,3.9749
1969,8,8,38,2.2266
