year,month,MKT,SMB,HML,RMW,CMA,UMD,HMLM,QMJ,BAB,LIQ,STR,LTR,REG,VOL,SUE,IA,ROE,IMD,NI,BETA,PEAD,FIN,PLS,ABR,ACI,ATO,CEI,CIM,CLA,COP,CP,CTO,DAC,dBE,dCOA,dFIN,dFNL,dII,dLNO,dNCA,dNCO,dNOA,DP,dPIA,dROA,dROE,DUR,dWC,EBP,EM,EP,EPRD,ETL,ETR,GPA,HS,IG,ILE,ILR,IM,IOCA,IR,ISFF,ISQ,IVC,IVFF,IVG,IVQ,NDF,NEI,NOA,NOP,OA,OCA,OCP,OL,OLE,OP,OPA,OPE,52W,PDA,POA,PTA,R1A,R5A,RER,Resid,ROA,RS,SG,SIM,SP,TA,TBI,TV,VHP
1973,1,-0.0329,-0.0282,0.0268,0.0038,0.009,0.0373,0.014099192,0.029114967,-0.00846153,-0.01486163,-0.0137,-2.00E-04,0.033322,0.1148,0.05374,0.003555,-0.003811,-0.0605,0.0265,-0.1018,-0.0362,0.0778,-0.005376894,-0.001999,-0.024343,-0.012948,0.043739,-0.068654,0.066136,0.067708,-0.000257,-0.003252,0.108241,0.000645,0.009006,0.002734,0.002995,0.000416,-0.06349,-0.007253,-0.018734,-0.000594,0.018533,-0.022429,0.01214,0.059443,-0.020971,0.012693,-0.027718,0.036093,0.041771,0.072583,-0.015688,0.008659,0.02876,0.020713,0.008525,-0.009862,0.014879,0.028415,0.010851,0.013832,-0.029584,-0.01667,-0.018907,0.112635,0.000614,0.109284,-0.01452,0.001961,0.000741,0.053561,0.066419,-0.040536,0.026394,-0.067356,0.003168,0.024925,0.0298,0.039079,0.102934,0.013915,-0.017715,0.001463,-0.013684,-0.036466,-0.051227,0.042327,0.071202,0.020148,-0.019287,0.058392,-0.049877,-0.007478,0.043217,0.104508,0.026031
1973,2,-0.0485,-0.039,0.016,-0.0025,2.00E-04,0.0216,0.013490049,0.013724662,-0.000236247,-0.01082593,-0.022,-0.0017,0.01522,0.0807,0.006296,0.001066,-0.010371,-0.0563,0.0384,-0.0718,0.0142,0.0419,-0.006268943,0.016949,-0.006328,0.002422,0.035483,0.061203,0.059964,0.062228,-0.037939,-0.04719,0.025827,0.003058,-0.010516,0.011897,-0.013596,-0.008047,-0.033062,-0.000103,-0.011285,0.030913,0.026736,-0.008551,0.042996,0.015506,-0.01582,0.04002,-0.012336,-0.023854,-0.036943,0.002882,-0.004293,-0.00105,-0.006275,0.014502,0.051728,-0.004635,0.076501,0.04688,-0.026575,-0.008897,-0.034591,-0.019987,-0.022575,0.076365,-0.002527,0.08157,0.01318,0.010758,0.013468,0.037558,0.014508,0.020796,-0.038637,-0.03226,0.000935,-0.018457,0.022409,0.019117,0.063604,0.013041,0.016937,0.035108,0.020968,-0.0258,-0.01467,0.032875,0.016427,0.041942,-0.002226,0.051771,-0.044772,0.012773,0.016288,0.067344,-0.068656
1973,3,-0.013,-0.0233,0.0262,-0.0104,0.0064,0.0359,0.022751555,-0.004343219,-0.006054573,-0.01272406,0.0043,0.0089,0.0321,0.039,0.027701,0.005066,-0.019078,-0.0047,0.0247,-0.0385,0.0064,0.031,0.02367316,-0.001567,-0.003304,-0.030073,0.012891,0.059574,0.027629,0.028549,0.014302,-0.01172,0.004714,-0.031118,-0.003712,0.002809,-0.004335,-0.017273,-0.030135,-0.011511,-0.001179,-0.00414,5.50E-05,-0.017749,0.013698,0.021415,0.01831,0.013122,0.018211,0.032377,0.012771,-0.001502,-0.011596,0.023436,0.002691,0.011871,0.025309,-0.001947,0.03785,0.042894,0.017611,0.021368,0.003551,0.028411,-0.029299,0.023803,0.000411,0.041034,0.015031,0.012318,-0.009674,0.00379,0.003569,-0.013742,0.0058,-0.048856,-0.003211,0.021516,-0.005613,-0.001944,0.053942,0.010783,0.050317,-0.016285,0.003003,-0.021443,-0.031456,0.052555,-0.007066,-0.019428,-0.016169,0.05132,-0.025458,-0.015434,0.027685,0.034263,0.028605
1973,4,-0.0568,-0.0295,0.0542,-0.0165,0.0273,0.0636,0.042903848,0.011209579,0.012851743,0.02307425,-0.0068,0.0249,0.040693,0.1179,-0.029556,0.031132,-0.005363,-0.0556,0.0599,-0.1021,0.015,0.0961,0.058857248,0.007619,-0.035794,-0.050089,0.095751,0.022719,0.029861,0.032896,0.0317,-0.077044,0.015116,0.055596,0.012928,0.01148,-0.021669,0.019574,-0.002764,0.029229,0.023516,0.061942,0.082459,0.017995,0.028559,0.084852,0.024627,0.068851,0.022798,0.049101,0.052074,0.05039,-0.070777,0.03665,-0.032691,-0.020126,-0.018841,0.035692,0.074288,0.113067,-0.026965,0.021188,-0.01325,0.001619,0.005966,0.078768,0.012071,0.081741,0.026552,-0.020844,-0.00249,0.059618,0.043149,-0.040981,0.033591,-0.067032,-0.014859,0.077422,0.014179,0.007049,0.079943,0.017856,0.030662,0.061056,-0.01394,-0.009851,0.004449,0.020396,0.072024,0.006622,-0.042754,0.050692,-0.008693,0.063812,0.051454,0.108638,0.042816
1973,5,-0.0294,-0.0618,0.0041,0.0194,-0.0151,0.0714,-0.018704998,0.020652732,0.007098777,-0.00261441,-0.0111,-0.0247,0.015846,0.1083,0.088049,-0.004114,0.016027,-0.0168,0.0451,-0.1279,-1.00E-04,0.0151,0.000432301,0.033636,-0.042159,0.004403,-0.000954,-0.062882,0.087637,0.087462,-0.066165,-0.033896,0.014051,-0.032818,0.000896,-0.003951,-0.027914,-0.005439,-0.049239,-0.031655,-0.046363,0.003792,-0.011507,-0.030235,0.062608,0.116061,-0.052601,0.038371,-0.07576,-0.038541,-0.053015,0.087438,0.014619,-0.019982,0.018476,0.000933,0.048603,0.102562,0.15908,0.147691,-0.0066,-0.058101,-0.022406,-0.007142,-0.013696,0.091408,-0.009131,0.096201,-0.008715,0.052393,0.011783,0.043564,0.022551,0.026655,-0.05375,0.008568,0.0155,-0.023407,0.073769,0.057805,0.129719,0.041781,0.005372,0.01911,0.059928,0.054513,0.020204,0.022635,0.085256,0.046142,0.030201,0.049677,-0.069656,-0.00646,0.033573,0.107169,-0.069272
1973,6,-0.0157,-0.0251,0.0119,-0.0027,0.0021,0.043,0.005545862,0.016150217,-0.00785561,-0.03236227,0.0011,-0.004,0.028658,0.0405,0.080321,0.004364,-0.001103,0.0501,0.0356,-0.0628,0.0262,0.046,0.032820666,0.016082,-0.023525,-0.057312,0.031098,0.014552,0.025176,0.026395,-0.015815,-0.049275,0.024699,-0.002888,-0.009671,0.011755,0.010295,-0.027247,-0.015943,0.010122,-0.003645,0.025374,0.011825,-0.022437,0.027344,0.029907,-0.012872,0.014268,-0.027181,0.028089,-0.007128,0.058977,-0.009004,0.004742,0.000408,-0.011111,0.00835,0.055684,0.067646,0.051741,-0.01734,-0.012796,0.003331,-0.032779,-0.019762,0.039903,-0.006552,0.041156,-0.003683,0.041783,-0.013001,0.033003,0.013151,-0.023972,0.001191,-0.075945,-0.012006,-0.000404,0.01985,0.026777,0.076799,0.012312,0.001471,0.023791,0.034827,0.033289,-0.050602,0.031626,0.075629,0.027657,0.012629,-0.016645,-0.05801,0.01497,0.03695,0.04433,-0.0102
1973,7,0.0505,0.0726,-0.0526,-5.00E-04,-0.0327,-0.1157,-0.006308259,-0.024446616,-0.039443561,0.00254919,0.095,0.0051,-0.042331,-0.1985,-0.06985,-0.057477,0.011376,0.0901,-0.0756,0.1853,-0.0185,-0.1136,-0.079279353,-0.007502,0.003726,0.046492,-0.112796,-0.052489,-0.108779,-0.120275,-0.003625,0.120436,-0.075075,-0.023169,-0.073808,-0.037917,0.028043,-0.035227,0.008209,0.005182,-0.001756,-0.045449,-0.062611,-0.055474,-0.015106,-0.001211,0.035126,-0.073029,0.015799,-0.046844,0.010802,-0.059692,0.018807,-0.029823,0.019156,0.049261,-0.002413,-0.027975,-0.08454,-0.169242,0.033914,0.084193,-0.020105,-0.008119,-0.053803,-0.162269,-0.061343,-0.168498,0.037263,-0.062959,-0.003092,-0.090548,-0.128396,0.038388,0.015026,0.058579,0.020563,-0.043823,-0.048546,-0.062869,-0.180434,-0.040444,-0.079071,-0.048352,-0.05908,-0.087467,0.051983,-0.033045,-0.051723,-0.072174,0.006758,-0.062591,0.05934,-0.058857,-0.066677,-0.18123,0.030978
1973,8,-0.0382,-0.0179,0.0106,-0.0128,0.0129,0.0346,0.005135388,-0.001869719,-0.002673772,0.01591023,0.0171,0.0028,0.014525,0.0336,0.021388,0.016985,0.014899,-0.0133,-1.00E-04,-0.0092,0.0302,0.0286,0.026807867,0.05086,0.013882,0.002392,0.012904,-0.002343,-0.026822,-0.023054,0.011692,-0.002405,-0.006079,0.010474,0.01918,-0.015424,0.009397,0.019033,0.016837,-0.014926,-0.012921,0.026483,0.02344,0.018737,0.031055,0.074783,0.036705,0.033176,0.033624,-0.005488,0.005059,-0.038173,-0.00777,-0.007391,-0.019584,-0.038413,0.000265,0.02809,-0.036647,0.067255,0.008702,0.032923,-0.021888,-0.013492,0.022676,0.045339,0.015862,0.04308,-0.004311,0.015082,0.006728,-0.007988,0.004808,-0.018425,0.021105,-0.002311,0.024697,0.009183,-0.011306,-0.023864,0.034731,-0.012893,-0.021141,0.005791,0.018619,-0.018075,0.004887,0.007601,0.022501,-0.01741,0.006152,0.002193,0.021098,0.017121,-0.008123,0.030963,0.006158
1973,9,0.0475,0.0357,0.0224,-0.023,0.0175,-0.07,0.045168237,-0.051998711,0.02244694,0.01708202,0.0165,0.0573,-0.015413,-0.0517,-0.051188,0.021956,-0.013047,0.09,-0.0597,0.1017,0.0118,-0.0386,-0.028537581,0.048795,0.008374,-0.043537,-0.009519,-0.003439,-0.084677,-0.09614,0.111354,0.01509,-0.123088,0.052873,-0.028041,-0.13319,-0.026491,0.000924,0.066019,0.043591,0.037255,-0.004662,0.040058,0.015715,-0.03117,0.002017,0.13045,-0.004129,0.110852,0.050461,0.097857,-0.050902,0.040763,0.01436,-0.091978,-0.018845,0.010211,-0.093147,-0.046214,-0.05829,-0.001111,0.08519,0.000584,0.001976,-0.005029,-0.089043,-0.013374,-0.094748,0.027048,-0.076717,-0.062401,-0.007885,-0.121007,-0.082534,0.105879,-0.008513,-0.007174,0.05054,-0.074905,-0.103003,-0.077822,-0.096221,0.01557,0.009396,-0.056954,0.019256,0.134808,-0.014286,-0.131274,-0.068906,-0.000955,-0.076798,0.115631,0.034465,-0.068124,-0.100881,0.099796
1973,10,-0.0083,-0.003,0.016,-0.0183,0.0268,0.0687,-0.012794767,0.009155962,0.013507516,-0.04303971,0.0182,0.0232,0.040646,0.0284,0.007284,0.026182,0.004903,0.0017,0.0475,-0.0411,0.0246,0.0453,0.041789274,0.001564,0.00345,-0.058461,-0.017465,0.054086,0.0109,0.010799,0.009994,-0.014553,0.036708,0.015964,0.055431,0.050462,0.02859,0.040396,0.0065,0.010439,0.010019,0.051449,-0.007472,0.068292,-0.023665,0.056741,0.03351,0.066049,0.049803,-0.006039,-0.045881,-0.019679,-0.008182,0.036891,0.01544,0.034397,0.026075,0.022656,0.02457,0.053331,0.0195,0.034757,-0.014109,0.007953,0.055209,0.02593,0.060489,0.026096,-0.004742,0.006845,-0.020087,-0.032741,0.101871,-0.055439,0.071417,-0.039409,-0.030236,-0.018349,-0.042014,-0.034475,0.082301,-0.008092,0.038004,0.032008,-0.045236,-0.048603,-0.058277,0.059268,-0.004351,-0.049665,0.014863,0.062219,-0.012799,0.043854,-0.038264,0.025867,-0.056116
